order_number,product_code,order_line_number,quantity_ordered,price_each,sales,deal_size,order_product_key
10424,S10_1949,6,50,100.0,12001.0,Large,10424_S10_1949
10107,S10_2016,5,39,99.91,3896.49,Medium,10107_S10_2016
10120,S10_2016,3,29,96.34,2793.86,Small,10120_S10_2016
10134,S10_2016,5,27,100.0,3307.77,Medium,10134_S10_2016
10145,S10_2016,9,37,100.0,5192.95,Medium,10145_S10_2016
10159,S10_2016,17,37,100.0,5016.83,Medium,10159_S10_2016
10168,S10_2016,4,27,100.0,3660.93,Medium,10168_S10_2016
10180,S10_2016,12,42,100.0,4695.6,Medium,10180_S10_2016
10188,S10_2016,4,38,96.34,3660.92,Medium,10188_S10_2016
10201,S10_2016,5,24,100.0,3025.92,Medium,10201_S10_2016
10210,S10_2016,2,23,100.0,3009.09,Medium,10210_S10_2016
10223,S10_2016,4,47,100.0,5422.39,Medium,10223_S10_2016
10236,S10_2016,1,22,100.0,2852.08,Small,10236_S10_2016
10251,S10_2016,5,44,100.0,5756.52,Medium,10251_S10_2016
10263,S10_2016,5,40,100.0,4472.0,Medium,10263_S10_2016
10275,S10_2016,4,22,100.0,2904.44,Small,10275_S10_2016
10285,S10_2016,9,47,100.0,6484.59,Medium,10285_S10_2016
10298,S10_2016,1,39,96.34,3757.26,Medium,10298_S10_2016
10308,S10_2016,2,34,100.0,4043.96,Medium,10308_S10_2016
10318,S10_2016,4,45,100.0,5566.5,Medium,10318_S10_2016
10329,S10_2016,2,20,100.0,3176.0,Medium,10329_S10_2016
10339,S10_2016,4,40,68.92,2756.8,Small,10339_S10_2016
10361,S10_2016,8,26,51.15,1329.9,Small,10361_S10_2016
10374,S10_2016,5,39,100.0,5288.01,Medium,10374_S10_2016
10388,S10_2016,5,50,44.51,2225.5,Small,10388_S10_2016
10402,S10_2016,1,45,100.0,5833.8,Medium,10402_S10_2016
10417,S10_2016,5,45,100.0,5887.35,Medium,10417_S10_2016
10107,S10_4698,4,27,100.0,6065.55,Medium,10107_S10_4698
10120,S10_4698,2,46,100.0,9264.86,Large,10120_S10_4698
10134,S10_4698,4,31,100.0,7023.98,Large,10134_S10_4698
10145,S10_4698,8,33,100.0,5176.38,Medium,10145_S10_4698
10159,S10_4698,16,22,100.0,4132.7,Medium,10159_S10_4698
10168,S10_4698,3,20,100.0,4183.0,Medium,10168_S10_4698
10180,S10_4698,11,41,100.0,8892.9,Large,10180_S10_4698
10188,S10_4698,3,45,100.0,8714.7,Large,10188_S10_4698
10201,S10_4698,4,49,100.0,8065.89,Large,10201_S10_4698
10210,S10_4698,1,34,100.0,6123.4,Medium,10210_S10_4698
10223,S10_4698,3,49,100.0,9774.03,Large,10223_S10_4698
10237,S10_4698,9,39,100.0,7023.9,Large,10237_S10_4698
10251,S10_4698,4,43,100.0,7078.23,Large,10251_S10_4698
10263,S10_4698,4,41,100.0,8336.94,Large,10263_S10_4698
10275,S10_4698,3,36,100.0,6901.92,Medium,10275_S10_4698
10285,S10_4698,8,27,100.0,5438.07,Medium,10285_S10_4698
10299,S10_4698,11,29,100.0,6683.34,Medium,10299_S10_4698
10308,S10_4698,1,20,100.0,4570.4,Medium,10308_S10_4698
10318,S10_4698,3,37,100.0,7667.14,Large,10318_S10_4698
10329,S10_4698,3,26,100.0,5868.2,Medium,10329_S10_4698
10339,S10_4698,3,39,76.67,2990.13,Small,10339_S10_4698
10362,S10_4698,4,22,100.0,3664.1,Medium,10362_S10_4698
10374,S10_4698,1,22,100.0,3834.38,Medium,10374_S10_4698
10388,S10_4698,7,21,86.77,1822.17,Small,10388_S10_4698
10403,S10_4698,9,66,100.0,11886.6,Large,10403_S10_4698
10417,S10_4698,4,56,100.0,9218.16,Large,10417_S10_4698
10105,S10_4757,2,50,100.0,7208.0,Large,10105_S10_4757
10119,S10_4757,11,46,100.0,5004.8,Medium,10119_S10_4757
10129,S10_4757,2,33,100.0,4398.24,Medium,10129_S10_4757
10143,S10_4757,15,49,100.0,5597.76,Medium,10143_S10_4757
10155,S10_4757,13,32,100.0,4526.08,Medium,10155_S10_4757
10167,S10_4757,9,44,100.0,5924.16,Medium,10167_S10_4757
10178,S10_4757,12,24,100.0,3492.48,Medium,10178_S10_4757
10186,S10_4757,9,26,100.0,3854.24,Medium,10186_S10_4757
10197,S10_4757,6,45,100.0,5324.4,Medium,10197_S10_4757
10209,S10_4757,8,39,100.0,5197.92,Medium,10209_S10_4757
10222,S10_4757,12,49,100.0,5997.6,Medium,10222_S10_4757
10248,S10_4757,3,20,100.0,2910.4,Small,10248_S10_4757
10261,S10_4757,1,27,100.0,3378.24,Medium,10261_S10_4757
10273,S10_4757,4,30,100.0,3508.8,Medium,10273_S10_4757
10283,S10_4757,6,25,100.0,2992.0,Small,10283_S10_4757
10295,S10_4757,1,24,100.0,3427.2,Medium,10295_S10_4757
10307,S10_4757,9,22,100.0,2692.8,Small,10307_S10_4757
10316,S10_4757,17,33,100.0,4128.96,Medium,10316_S10_4757
10325,S10_4757,6,47,64.93,3051.71,Medium,10325_S10_4757
10337,S10_4757,8,25,48.05,1201.25,Small,10337_S10_4757
10350,S10_4757,5,26,75.47,1962.22,Small,10350_S10_4757
10359,S10_4757,6,48,54.68,2624.64,Small,10359_S10_4757
10373,S10_4757,3,39,100.0,4046.25,Medium,10373_S10_4757
10384,S10_4757,4,34,100.0,4846.7,Medium,10384_S10_4757
10395,S10_4757,2,32,100.0,3370.56,Medium,10395_S10_4757
10400,S10_4757,9,64,100.0,9661.44,Large,10400_S10_4757
10414,S10_4757,3,19,100.0,2764.88,Small,10414_S10_4757
10103,S10_4962,4,42,100.0,5398.26,Medium,10103_S10_4962
10114,S10_4962,8,31,100.0,4305.28,Medium,10114_S10_4962
10126,S10_4962,4,22,100.0,3347.74,Medium,10126_S10_4962
10140,S10_4962,4,26,100.0,3188.12,Medium,10140_S10_4962
10150,S10_4962,1,20,100.0,3191.2,Medium,10150_S10_4962
10164,S10_4962,2,21,100.0,3536.82,Medium,10164_S10_4962
10175,S10_4962,9,33,100.0,5362.83,Medium,10175_S10_4962
10183,S10_4962,1,28,100.0,3433.36,Medium,10183_S10_4962
10194,S10_4962,4,26,100.0,4263.74,Medium,10194_S10_4962
10207,S10_4962,15,31,100.0,4076.19,Medium,10207_S10_4962
10217,S10_4962,4,48,100.0,7020.48,Large,10217_S10_4962
10229,S10_4962,9,50,100.0,6426.5,Medium,10229_S10_4962
10245,S10_4962,2,28,100.0,4591.72,Medium,10245_S10_4962
10259,S10_4962,12,26,100.0,4033.38,Medium,10259_S10_4962
10270,S10_4962,2,32,100.0,4302.08,Medium,10270_S10_4962
10281,S10_4962,9,44,100.0,7020.64,Large,10281_S10_4962
10291,S10_4962,4,30,100.0,3855.9,Medium,10291_S10_4962
10305,S10_4962,13,38,100.0,6680.78,Medium,10305_S10_4962
10313,S10_4962,7,40,100.0,6678.0,Medium,10313_S10_4962
10322,S10_4962,8,46,61.99,2851.54,Small,10322_S10_4962
10334,S10_4962,2,26,100.0,3188.12,Medium,10334_S10_4962
10347,S10_4962,2,27,100.0,4428.0,Medium,10347_S10_4962
10357,S10_4962,9,43,100.0,5780.92,Medium,10357_S10_4962
10370,S10_4962,4,35,65.63,2297.05,Small,10370_S10_4962
10381,S10_4962,6,37,100.0,6231.54,Medium,10381_S10_4962
10391,S10_4962,7,37,46.9,1735.3,Small,10391_S10_4962
10411,S10_4962,2,27,100.0,4427.73,Medium,10411_S10_4962
10425,S10_4962,12,38,100.0,5894.94,Medium,10425_S10_4962
10108,S12_1099,6,33,100.0,5265.15,Medium,10108_S12_1099
10122,S12_1099,10,42,100.0,7599.9,Large,10122_S12_1099
10135,S12_1099,7,42,100.0,8008.56,Large,10135_S12_1099
10147,S12_1099,7,48,100.0,9245.76,Large,10147_S12_1099
10159,S12_1099,2,41,100.0,8296.35,Large,10159_S12_1099
10169,S12_1099,2,30,100.0,5019.9,Medium,10169_S12_1099
10181,S12_1099,14,27,100.0,5411.07,Medium,10181_S12_1099
10191,S12_1099,3,21,100.0,3840.9,Medium,10191_S12_1099
10203,S12_1099,8,20,100.0,3930.4,Medium,10203_S12_1099
10211,S12_1099,2,41,100.0,7498.9,Large,10211_S12_1099
10225,S12_1099,9,27,100.0,4517.91,Medium,10225_S12_1099
10238,S12_1099,3,28,100.0,5774.72,Medium,10238_S12_1099
10253,S12_1099,13,24,100.0,3922.56,Medium,10253_S12_1099
10266,S12_1099,14,44,100.0,9160.36,Large,10266_S12_1099
10276,S12_1099,3,50,100.0,9631.0,Large,10276_S12_1099
10287,S12_1099,12,21,100.0,3432.24,Medium,10287_S12_1099
10300,S12_1099,5,33,100.0,5521.89,Medium,10300_S12_1099
10310,S12_1099,10,33,100.0,6934.62,Medium,10310_S12_1099
10320,S12_1099,3,31,100.0,6876.11,Medium,10320_S12_1099
10329,S12_1099,5,41,71.47,2930.27,Small,10329_S12_1099
10341,S12_1099,2,45,79.65,3584.25,Medium,10341_S12_1099
10363,S12_1099,3,33,85.39,2817.87,Small,10363_S12_1099
10375,S12_1099,7,45,76.0,3420.0,Medium,10375_S12_1099
10389,S12_1099,4,26,99.04,2575.04,Small,10389_S12_1099
10419,S12_1099,13,12,100.0,1961.28,Small,10419_S12_1099
10105,S12_1108,15,41,100.0,8690.36,Large,10105_S12_1108
10117,S12_1108,9,33,100.0,6034.38,Medium,10117_S12_1108
10127,S12_1108,2,46,100.0,11279.2,Large,10127_S12_1108
10142,S12_1108,12,33,100.0,8023.29,Large,10142_S12_1108
10153,S12_1108,11,20,100.0,4904.0,Medium,10153_S12_1108
10165,S12_1108,3,44,100.0,8594.52,Large,10165_S12_1108
10176,S12_1108,2,33,100.0,7474.5,Large,10176_S12_1108
10185,S12_1108,13,21,100.0,3883.74,Medium,10185_S12_1108
10196,S12_1108,5,47,100.0,8887.7,Large,10196_S12_1108
10208,S12_1108,13,46,100.0,8602.92,Large,10208_S12_1108
10220,S12_1108,2,32,100.0,7181.44,Large,10220_S12_1108
10231,S12_1108,2,42,100.0,8378.58,Large,10231_S12_1108
10247,S12_1108,2,44,100.0,10606.2,Large,10247_S12_1108
10272,S12_1108,2,35,100.0,5818.4,Medium,10272_S12_1108
10282,S12_1108,5,41,100.0,7071.27,Large,10282_S12_1108
10293,S12_1108,8,46,100.0,8411.56,Large,10293_S12_1108
10306,S12_1108,13,31,100.0,6570.76,Medium,10306_S12_1108
10314,S12_1108,5,38,100.0,7975.44,Large,10314_S12_1108
10325,S12_1108,8,42,64.0,2688.0,Small,10325_S12_1108
10336,S12_1108,10,33,57.22,1888.26,Small,10336_S12_1108
10348,S12_1108,8,48,52.36,2513.28,Small,10348_S12_1108
10359,S12_1108,8,42,100.0,4764.48,Medium,10359_S12_1108
10371,S12_1108,6,32,100.0,3560.64,Medium,10371_S12_1108
10382,S12_1108,10,34,100.0,3823.64,Medium,10382_S12_1108
10395,S12_1108,1,33,69.12,2280.96,Small,10395_S12_1108
10413,S12_1108,2,36,100.0,8677.8,Large,10413_S12_1108
10103,S12_1666,8,27,100.0,3394.98,Medium,10103_S12_1666
10113,S12_1666,2,21,100.0,3415.44,Medium,10113_S12_1666
10126,S12_1666,8,21,100.0,2439.57,Small,10126_S12_1666
10140,S12_1666,8,38,100.0,4829.8,Medium,10140_S12_1666
10150,S12_1666,5,30,100.0,4100.1,Medium,10150_S12_1666
10164,S12_1666,6,49,100.0,6563.06,Medium,10164_S12_1666
10174,S12_1666,1,43,100.0,6817.22,Medium,10174_S12_1666
10183,S12_1666,5,41,100.0,6163.94,Medium,10183_S12_1666
10194,S12_1666,8,38,100.0,4933.92,Medium,10194_S12_1666
10206,S12_1666,3,28,100.0,4056.36,Medium,10206_S12_1666
10216,S12_1666,1,43,100.0,5759.42,Medium,10216_S12_1666
10229,S12_1666,13,25,100.0,3451.0,Medium,10229_S12_1666
10245,S12_1666,6,38,100.0,5920.4,Medium,10245_S12_1666
10258,S12_1666,3,41,100.0,6668.24,Medium,10258_S12_1666
10270,S12_1666,6,28,100.0,4094.72,Medium,10270_S12_1666
10281,S12_1666,13,25,100.0,2938.5,Small,10281_S12_1666
10291,S12_1666,8,41,100.0,6387.8,Medium,10291_S12_1666
10304,S12_1666,3,39,100.0,6396.0,Medium,10304_S12_1666
10313,S12_1666,11,21,100.0,2669.1,Small,10313_S12_1666
10322,S12_1666,9,27,100.0,4784.13,Medium,10322_S12_1666
10333,S12_1666,6,33,99.21,3273.93,Medium,10333_S12_1666
10347,S12_1666,3,29,100.0,3586.43,Medium,10347_S12_1666
10357,S12_1666,8,49,100.0,5960.36,Medium,10357_S12_1666
10370,S12_1666,8,49,100.0,8470.14,Large,10370_S12_1666
10381,S12_1666,1,20,100.0,2952.0,Small,10381_S12_1666
10391,S12_1666,9,39,63.2,2464.8,Small,10391_S12_1666
10411,S12_1666,6,40,100.0,6232.0,Medium,10411_S12_1666
10424,S12_1666,3,49,100.0,7969.36,Large,10424_S12_1666
10107,S12_2823,1,21,100.0,3036.6,Medium,10107_S12_2823
10121,S12_2823,4,50,100.0,8284.0,Large,10121_S12_2823
10134,S12_2823,1,20,100.0,2711.2,Small,10134_S12_2823
10145,S12_2823,5,49,100.0,8339.8,Large,10145_S12_2823
10159,S12_2823,13,38,100.0,6238.84,Medium,10159_S12_2823
10169,S12_2823,13,35,100.0,4639.25,Medium,10169_S12_2823
10180,S12_2823,8,40,100.0,6747.6,Medium,10180_S12_2823
10189,S12_2823,1,28,100.0,4512.48,Medium,10189_S12_2823
10201,S12_2823,1,25,100.0,4029.0,Medium,10201_S12_2823
10211,S12_2823,13,36,100.0,4771.8,Medium,10211_S12_2823
10224,S12_2823,6,43,100.0,6087.94,Medium,10224_S12_2823
10237,S12_2823,6,32,100.0,4193.28,Medium,10237_S12_2823
10251,S12_2823,1,46,100.0,7552.28,Large,10251_S12_2823
10263,S12_2823,1,48,100.0,6434.4,Medium,10263_S12_2823
10276,S12_2823,14,43,100.0,5181.5,Medium,10276_S12_2823
10285,S12_2823,5,49,100.0,6863.92,Medium,10285_S12_2823
10299,S12_2823,8,24,100.0,4157.04,Medium,10299_S12_2823
10309,S12_2823,4,26,100.0,4660.24,Medium,10309_S12_2823
10319,S12_2823,9,30,100.0,4111.8,Medium,10319_S12_2823
10329,S12_2823,6,24,100.0,3542.64,Medium,10329_S12_2823
10341,S12_2823,8,55,100.0,8118.55,Large,10341_S12_2823
10362,S12_2823,1,22,100.0,3877.06,Medium,10362_S12_2823
10375,S12_2823,13,49,78.92,3867.08,Medium,10375_S12_2823
10388,S12_2823,6,44,100.0,5951.44,Medium,10388_S12_2823
10403,S12_2823,6,66,100.0,8648.64,Large,10403_S12_2823
10417,S12_2823,1,21,100.0,3447.78,Medium,10417_S12_2823
10104,S12_3148,1,34,100.0,5958.5,Medium,10104_S12_3148
10117,S12_3148,10,43,100.0,5911.64,Medium,10117_S12_3148
10127,S12_3148,3,46,100.0,7366.44,Large,10127_S12_3148
10142,S12_3148,13,33,100.0,4985.64,Medium,10142_S12_3148
10153,S12_3148,12,42,100.0,5393.64,Medium,10153_S12_3148
10165,S12_3148,4,34,100.0,4880.02,Medium,10165_S12_3148
10176,S12_3148,3,47,100.0,8378.69,Large,10176_S12_3148
10185,S12_3148,14,33,100.0,4038.21,Medium,10185_S12_3148
10196,S12_3148,6,24,100.0,3807.12,Medium,10196_S12_3148
10208,S12_3148,14,26,100.0,3142.36,Medium,10208_S12_3148
10220,S12_3148,3,30,100.0,4713.6,Medium,10220_S12_3148
10230,S12_3148,1,43,100.0,7016.31,Large,10230_S12_3148
10247,S12_3148,3,25,100.0,4381.25,Medium,10247_S12_3148
10272,S12_3148,3,27,100.0,4283.01,Medium,10272_S12_3148
10282,S12_3148,6,27,100.0,4364.82,Medium,10282_S12_3148
10293,S12_3148,9,24,100.0,4242.24,Medium,10293_S12_3148
10306,S12_3148,14,34,100.0,4982.7,Medium,10306_S12_3148
10314,S12_3148,6,46,100.0,6393.54,Medium,10314_S12_3148
10324,S12_3148,1,27,54.33,1466.91,Small,10324_S12_3148
10336,S12_3148,11,33,100.0,4059.33,Medium,10336_S12_3148
10348,S12_3148,4,47,100.0,4801.52,Medium,10348_S12_3148
10358,S12_3148,5,49,55.34,2711.66,Small,10358_S12_3148
10372,S12_3148,4,40,100.0,5862.0,Medium,10372_S12_3148
10382,S12_3148,11,37,100.0,4071.85,Medium,10382_S12_3148
10413,S12_3148,3,47,100.0,8236.75,Large,10413_S12_3148
10108,S12_3380,4,45,100.0,6130.35,Medium,10108_S12_3380
10122,S12_3380,8,37,99.82,3693.34,Medium,10122_S12_3380
10135,S12_3380,5,48,100.0,6031.68,Medium,10135_S12_3380
10147,S12_3380,5,31,100.0,3494.94,Medium,10147_S12_3380
10160,S12_3380,6,46,100.0,5294.14,Medium,10160_S12_3380
10170,S12_3380,4,47,100.0,5464.69,Medium,10170_S12_3380
10181,S12_3380,12,28,100.0,2860.76,Small,10181_S12_3380
10191,S12_3380,1,40,100.0,5590.0,Medium,10191_S12_3380
10203,S12_3380,6,20,100.0,2254.8,Small,10203_S12_3380
10212,S12_3380,16,39,100.0,4946.76,Medium,10212_S12_3380
10225,S12_3380,7,25,99.82,2495.5,Small,10225_S12_3380
10238,S12_3380,1,29,100.0,3167.38,Medium,10238_S12_3380
10253,S12_3380,11,22,100.0,2402.84,Small,10253_S12_3380
10266,S12_3380,12,22,100.0,2454.54,Small,10266_S12_3380
10276,S12_3380,1,47,100.0,5464.69,Medium,10276_S12_3380
10287,S12_3380,10,45,100.0,4756.5,Medium,10287_S12_3380
10300,S12_3380,3,29,100.0,3984.6,Medium,10300_S12_3380
10310,S12_3380,8,24,100.0,3100.32,Medium,10310_S12_3380
10320,S12_3380,1,35,100.0,4850.3,Medium,10320_S12_3380
10329,S12_3380,13,46,83.63,3846.98,Medium,10329_S12_3380
10341,S12_3380,1,44,95.93,4220.92,Medium,10341_S12_3380
10363,S12_3380,4,34,96.73,3288.82,Medium,10363_S12_3380
10376,S12_3380,1,35,100.0,3987.2,Medium,10376_S12_3380
10389,S12_3380,6,25,72.38,1809.5,Small,10389_S12_3380
10419,S12_3380,11,10,100.0,1092.2,Small,10419_S12_3380
10105,S12_3891,14,29,100.0,4566.05,Medium,10105_S12_3891
10117,S12_3891,8,39,100.0,5938.14,Medium,10117_S12_3891
10127,S12_3891,1,42,100.0,8138.76,Large,10127_S12_3891
10142,S12_3891,11,46,100.0,9470.94,Large,10142_S12_3891
10153,S12_3891,10,49,100.0,7036.89,Large,10153_S12_3891
10165,S12_3891,2,27,100.0,5559.03,Medium,10165_S12_3891
10176,S12_3891,1,50,100.0,7872.5,Large,10176_S12_3891
10185,S12_3891,12,43,100.0,7886.2,Large,10185_S12_3891
10196,S12_3891,4,38,100.0,7232.16,Large,10196_S12_3891
10208,S12_3891,12,20,100.0,3114.4,Medium,10208_S12_3891
10220,S12_3891,1,27,100.0,5045.22,Medium,10220_S12_3891
10231,S12_3891,1,49,100.0,6952.12,Medium,10231_S12_3891
10247,S12_3891,1,27,100.0,4157.73,Medium,10247_S12_3891
10272,S12_3891,1,39,100.0,7962.24,Large,10272_S12_3891
10282,S12_3891,4,24,100.0,3778.8,Medium,10282_S12_3891
10293,S12_3891,7,45,100.0,8253.0,Large,10293_S12_3891
10306,S12_3891,12,20,100.0,3633.4,Medium,10306_S12_3891
10314,S12_3891,4,36,100.0,6913.8,Medium,10314_S12_3891
10325,S12_3891,1,24,100.0,2583.6,Small,10325_S12_3891
10336,S12_3891,1,49,63.38,3105.62,Medium,10336_S12_3891
10349,S12_3891,10,26,100.0,4408.56,Medium,10349_S12_3891
10359,S12_3891,5,49,62.09,3042.41,Medium,10359_S12_3891
10372,S12_3891,1,34,100.0,5941.5,Medium,10372_S12_3891
10382,S12_3891,12,34,95.35,3241.9,Medium,10382_S12_3891
10396,S12_3891,3,33,100.0,6109.29,Medium,10396_S12_3891
10413,S12_3891,1,22,100.0,3387.78,Medium,10413_S12_3891
10108,S12_3990,7,39,89.38,3485.82,Medium,10108_S12_3990
10122,S12_3990,11,32,63.84,2042.88,Small,10122_S12_3990
10135,S12_3990,8,24,75.01,1800.24,Small,10135_S12_3990
10147,S12_3990,8,21,63.84,1340.64,Small,10147_S12_3990
10159,S12_3990,3,24,73.42,1762.08,Small,10159_S12_3990
10169,S12_3990,3,36,63.84,2298.24,Small,10169_S12_3990
10181,S12_3990,15,20,81.4,1628.0,Small,10181_S12_3990
10191,S12_3990,4,30,64.64,1939.2,Small,10191_S12_3990
10203,S12_3990,9,44,82.99,3651.56,Medium,10203_S12_3990
10211,S12_3990,3,28,92.57,2591.96,Small,10211_S12_3990
10225,S12_3990,10,37,77.41,2864.17,Small,10225_S12_3990
10238,S12_3990,4,20,74.21,1484.2,Small,10238_S12_3990
10253,S12_3990,14,25,90.17,2254.25,Small,10253_S12_3990
10266,S12_3990,15,35,76.61,2681.35,Small,10266_S12_3990
10276,S12_3990,4,38,83.79,3184.02,Medium,10276_S12_3990
10287,S12_3990,13,41,69.43,2846.63,Small,10287_S12_3990
10300,S12_3990,6,22,76.61,1685.42,Small,10300_S12_3990
10310,S12_3990,11,49,81.4,3988.6,Medium,10310_S12_3990
10320,S12_3990,4,38,73.42,2789.96,Small,10320_S12_3990
10329,S12_3990,14,33,100.0,3607.56,Medium,10329_S12_3990
10341,S12_3990,10,36,93.56,3368.16,Medium,10341_S12_3990
10363,S12_3990,5,34,81.62,2775.08,Small,10363_S12_3990
10377,S12_3990,5,24,67.83,1627.92,Small,10377_S12_3990
10389,S12_3990,7,36,70.26,2529.36,Small,10389_S12_3990
10419,S12_3990,14,34,90.17,3065.78,Medium,10419_S12_3990
10104,S12_4473,9,41,100.0,4615.78,Medium,10104_S12_4473
10115,S12_4473,5,46,100.0,5723.78,Medium,10115_S12_4473
10127,S12_4473,11,24,100.0,2559.6,Small,10127_S12_4473
10141,S12_4473,5,21,100.0,2140.11,Small,10141_S12_4473
10151,S12_4473,3,24,100.0,3327.6,Medium,10151_S12_4473
10165,S12_4473,12,48,100.0,6825.6,Medium,10165_S12_4473
10175,S12_4473,1,26,100.0,3543.28,Medium,10175_S12_4473
10184,S12_4473,6,37,100.0,4516.22,Medium,10184_S12_4473
10195,S12_4473,6,49,100.0,6445.46,Medium,10195_S12_4473
10207,S12_4473,7,34,99.54,3384.36,Medium,10207_S12_4473
10219,S12_4473,2,48,100.0,4891.68,Medium,10219_S12_4473
10229,S12_4473,1,36,100.0,4521.96,Medium,10229_S12_4473
10246,S12_4473,5,46,100.0,5069.66,Medium,10246_S12_4473
10259,S12_4473,4,46,100.0,6541.2,Medium,10259_S12_4473
10271,S12_4473,5,31,97.17,3012.27,Medium,10271_S12_4473
10281,S12_4473,1,41,100.0,5247.18,Medium,10281_S12_4473
10292,S12_4473,8,21,100.0,2214.87,Small,10292_S12_4473
10305,S12_4473,5,38,100.0,4773.18,Medium,10305_S12_4473
10314,S12_4473,14,45,100.0,6185.7,Medium,10314_S12_4473
10324,S12_4473,7,26,58.38,1517.88,Small,10324_S12_4473
10336,S12_4473,3,38,100.0,6372.6,Medium,10336_S12_4473
10349,S12_4473,9,48,100.0,5232.96,Medium,10349_S12_4473
10358,S12_4473,9,42,64.16,2694.72,Small,10358_S12_4473
10371,S12_4473,4,49,35.71,1749.79,Small,10371_S12_4473
10382,S12_4473,13,32,66.58,2130.56,Small,10382_S12_4473
10412,S12_4473,5,54,100.0,5951.34,Medium,10412_S12_4473
10425,S12_4473,4,33,100.0,4692.6,Medium,10425_S12_4473
10108,S12_4675,3,36,100.0,3731.04,Medium,10108_S12_4675
10122,S12_4675,7,20,100.0,2142.0,Small,10122_S12_4675
10135,S12_4675,4,29,97.89,2838.81,Small,10135_S12_4675
10147,S12_4675,4,33,97.89,3230.37,Medium,10147_S12_4675
10160,S12_4675,5,50,100.0,5182.0,Medium,10160_S12_4675
10170,S12_4675,3,41,100.0,4391.1,Medium,10170_S12_4675
10181,S12_4675,11,36,100.0,4477.32,Medium,10181_S12_4675
10192,S12_4675,16,27,100.0,3544.56,Medium,10192_S12_4675
